,neighbourhood_group,room_type,price,Popularity,Reviews,required_nights
96,Brooklyn,Entire home/apt,175,Very Affordable,Less than 300 reviews,Short term rent is available
97,Manhattan,Private room,65,Very Affordable,Less than 150 reviews,Short term rent is available
98,Manhattan,Entire home/apt,500,Very Affordable,Less than 50 reviews,Short term rent is available
99,Brooklyn,Private room,101,Affordable,Over 300 reviews,Short term rent is available
100,Brooklyn,Entire home/apt,220,Very Popular,Less than 150 reviews,At least more than a month should be reserved
101,Brooklyn,Entire home/apt,125,Normal,Less than 300 reviews,Sublet only
102,Brooklyn,Entire home/apt,80,Very Affordable,Less than 50 reviews,At least more than a month should be reserved
103,Manhattan,Private room,100,Very Affordable,Less than 300 reviews,Short term rent is available
104,Brooklyn,Entire home/apt,200,Affordable,Less than 50 reviews,At least more than a month should be reserved
105,Manhattan,Private room,59,Very Affordable,Over 300 reviews,Short term rent is available
106,Brooklyn,Private room,125,Very Affordable,Less than 50 reviews,Short term rent is available
107,Manhattan,Entire home/apt,140,Affordable,Less than 50 reviews,At least a week should be reserved
108,Brooklyn,Entire home/apt,120,Affordable,Over 300 reviews,At least more than a month should be reserved
109,Manhattan,Entire home/apt,350,Very Affordable,Less than 10 reviews,Short term rent is available
110,Manhattan,Entire home/apt,199,Very Affordable,Less than 50 reviews,Short term rent is available
111,Brooklyn,Entire home/apt,325,Normal,Over 300 reviews,Short term rent is available
112,Manhattan,Entire home/apt,235,Affordable,Less than 50 reviews,Short term rent is available
113,Manhattan,Entire home/apt,225,Very Affordable,Less than 150 reviews,Short term rent is available
114,Brooklyn,Private room,99,Very Popular,Over 300 reviews,Short term rent is available
115,Manhattan,Entire home/apt,170,Very Affordable,Less than 300 reviews,Short term rent is available
116,Brooklyn,Entire home/apt,400,Very Affordable,Less than 50 reviews,Short term rent is available
117,Manhattan,Entire home/apt,170,Very Affordable,Less than 50 reviews,At least a week should be reserved
118,Manhattan,Entire home/apt,100,Very Popular,Less than 50 reviews,Short term rent is available
119,Brooklyn,Private room,75,Very Affordable,Less than 10 reviews,Short term rent is available
120,Brooklyn,Private room,90,Very Affordable,Less than 10 reviews,Short term rent is available
121,Manhattan,Entire home/apt,150,Affordable,Less than 50 reviews,Short term rent is available
122,Manhattan,Private room,85,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
123,Brooklyn,Private room,70,Very Affordable,Less than 150 reviews,Short term rent is available
124,Manhattan,Entire home/apt,120,Very Affordable,Less than 300 reviews,Short term rent is available
125,Brooklyn,Private room,89,Very Affordable,Less than 300 reviews,Short term rent is available
126,Manhattan,Entire home/apt,185,Affordable,Less than 150 reviews,Short term rent is available
127,Brooklyn,Private room,50,Very Popular,Less than 300 reviews,Short term rent is available
128,Manhattan,Entire home/apt,105,Very Popular,Less than 50 reviews,Short term rent is available
129,Manhattan,Private room,130,Very Affordable,Less than 150 reviews,Short term rent is available
130,Manhattan,Entire home/apt,115,Very Popular,Less than 50 reviews,At least more than 2 weeks should be reserved
131,Brooklyn,Private room,77,Affordable,Less than 10 reviews,Short term rent is available
132,Brooklyn,Private room,76,Very Affordable,Over 300 reviews,Short term rent is available
133,Brooklyn,Entire home/apt,125,Affordable,Less than 300 reviews,Short term rent is available
134,Brooklyn,Private room,135,Very Affordable,Less than 150 reviews,Short term rent is available
135,Brooklyn,Entire home/apt,250,Popular,Less than 10 reviews,At least more than 2 weeks should be reserved
136,Brooklyn,Entire home/apt,199,Very Affordable,Less than 50 reviews,Short term rent is available
137,Brooklyn,Entire home/apt,140,Very Popular,Less than 10 reviews,Short term rent is available
138,Queens,Private room,140,Very Popular,Less than 10 reviews,Short term rent is available
139,Brooklyn,Entire home/apt,115,Affordable,Less than 150 reviews,Short term rent is available
140,Brooklyn,Entire home/apt,160,Affordable,Less than 50 reviews,Short term rent is available
141,Brooklyn,Entire home/apt,195,Very Affordable,Less than 300 reviews,Short term rent is available
142,Manhattan,Entire home/apt,195,Very Affordable,Less than 50 reviews,Short term rent is available
143,Brooklyn,Private room,80,Very Affordable,Less than 300 reviews,Short term rent is available
144,Brooklyn,Private room,44,Very Affordable,Less than 50 reviews,At least a week should be reserved
145,Manhattan,Private room,156,Very Affordable,Less than 150 reviews,Short term rent is available
146,Brooklyn,Private room,85,Very Affordable,Less than 10 reviews,At least more than 2 weeks should be reserved
147,Brooklyn,Private room,125,Very Popular,Less than 300 reviews,Short term rent is available
148,Brooklyn,Entire home/apt,115,Very Affordable,Less than 10 reviews,At least more than 2 weeks should be reserved
149,Manhattan,Private room,69,Very Popular,Less than 50 reviews,Short term rent is available
150,Manhattan,Entire home/apt,225,Very Affordable,Less than 150 reviews,At least more than a month should be reserved
151,Brooklyn,Entire home/apt,125,Affordable,Less than 50 reviews,Short term rent is available
152,Manhattan,Entire home/apt,219,Very Affordable,Less than 150 reviews,Short term rent is available
153,Brooklyn,Entire home/apt,475,Very Affordable,Less than 50 reviews,Short term rent is available
154,Manhattan,Entire home/apt,99,Affordable,Less than 300 reviews,Short term rent is available
155,Brooklyn,Private room,69,Popular,Less than 300 reviews,Short term rent is available
156,Queens,Private room,79,Normal,Less than 50 reviews,At least more than a month should be reserved
157,Brooklyn,Entire home/apt,135,Very Popular,Over 300 reviews,Short term rent is available
158,Brooklyn,Private room,250,Affordable,Less than 50 reviews,Short term rent is available
159,Manhattan,Entire home/apt,250,Very Affordable,Less than 10 reviews,Short term rent is available
160,Brooklyn,Entire home/apt,250,Very Popular,Less than 150 reviews,Short term rent is available
161,Manhattan,Entire home/apt,80,Very Popular,Less than 10 reviews,Short term rent is available
162,Brooklyn,Private room,70,Very Affordable,Less than 300 reviews,Short term rent is available
163,Brooklyn,Entire home/apt,165,Very Affordable,Less than 300 reviews,Short term rent is available
164,Staten Island,Private room,70,Very Affordable,Less than 300 reviews,Short term rent is available
165,Brooklyn,Private room,50,Popular,Less than 50 reviews,Short term rent is available
166,Bronx,Private room,40,Very Affordable,Less than 300 reviews,Short term rent is available
167,Brooklyn,Entire home/apt,150,Affordable,Less than 300 reviews,Short term rent is available
168,Manhattan,Private room,125,Very Affordable,Less than 150 reviews,Short term rent is available
169,Manhattan,Entire home/apt,196,Very Popular,Less than 150 reviews,Short term rent is available
170,Brooklyn,Private room,110,Very Affordable,Less than 300 reviews,Short term rent is available
171,Manhattan,Entire home/apt,170,Very Affordable,Less than 150 reviews,Short term rent is available
172,Manhattan,Entire home/apt,165,Very Affordable,Less than 150 reviews,Short term rent is available
173,Manhattan,Entire home/apt,150,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
174,Manhattan,Entire home/apt,100,Very Popular,Less than 50 reviews,Short term rent is available
175,Brooklyn,Private room,65,Very Popular,Less than 300 reviews,Short term rent is available
176,Queens,Entire home/apt,350,Very Affordable,Less than 50 reviews,At least a week should be reserved
177,Manhattan,Private room,99,Very Affordable,Less than 150 reviews,Short term rent is available
178,Brooklyn,Entire home/apt,200,Very Popular,Less than 50 reviews,Short term rent is available
179,Brooklyn,Entire home/apt,150,Very Popular,Less than 150 reviews,Short term rent is available
180,Brooklyn,Private room,90,Very Affordable,Less than 150 reviews,Short term rent is available
181,Brooklyn,Private room,120,Very Affordable,Less than 150 reviews,Short term rent is available
182,Manhattan,Private room,75,Very Affordable,Less than 300 reviews,Short term rent is available
183,Brooklyn,Entire home/apt,175,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
184,Manhattan,Entire home/apt,125,Very Popular,Less than 10 reviews,Short term rent is available
185,Manhattan,Entire home/apt,275,Very Affordable,Less than 50 reviews,Short term rent is available
186,Manhattan,Entire home/apt,299,Affordable,Less than 150 reviews,Short term rent is available
187,Brooklyn,Entire home/apt,135,Affordable,Less than 300 reviews,Short term rent is available
188,Manhattan,Private room,83,Very Popular,Less than 300 reviews,Short term rent is available
189,Manhattan,Private room,123,Very Affordable,Over 300 reviews,Short term rent is available
190,Queens,Private room,55,Very Affordable,Less than 150 reviews,Short term rent is available
191,Manhattan,Entire home/apt,195,Very Popular,Less than 50 reviews,Short term rent is available
192,Brooklyn,Private room,80,Very Popular,Less than 50 reviews,Short term rent is available
193,Queens,Entire home/apt,98,Very Affordable,Less than 50 reviews,At least more than a month should be reserved
194,Queens,Private room,140,Very Affordable,Less than 10 reviews,At least a week should be reserved
195,Queens,Entire home/apt,265,Very Affordable,Less than 50 reviews,At least a week should be reserved
196,Brooklyn,Entire home/apt,249,Affordable,Over 300 reviews,Short term rent is available
197,Manhattan,Shared room,105,Very Affordable,Less than 50 reviews,Short term rent is available
198,Brooklyn,Private room,100,Very Affordable,Less than 300 reviews,Short term rent is available
199,Manhattan,Entire home/apt,121,Very Affordable,Less than 150 reviews,Short term rent is available
200,Bronx,Private room,45,Very Affordable,Less than 150 reviews,Short term rent is available
201,Manhattan,Private room,100,Affordable,Less than 300 reviews,Short term rent is available
202,Brooklyn,Entire home/apt,140,Normal,Less than 300 reviews,Short term rent is available
203,Brooklyn,Private room,71,Normal,Less than 50 reviews,Short term rent is available
204,Manhattan,Private room,130,Popular,Less than 150 reviews,Short term rent is available
205,Manhattan,Entire home/apt,199,Very Affordable,Less than 150 reviews,Short term rent is available
206,Brooklyn,Private room,69,Popular,Less than 150 reviews,Short term rent is available
207,Brooklyn,Private room,68,Very Popular,Less than 50 reviews,Short term rent is available
208,Manhattan,Entire home/apt,130,Affordable,Less than 300 reviews,Short term rent is available
209,Brooklyn,Entire home/apt,195,Popular,Less than 150 reviews,Short term rent is available
210,Manhattan,Private room,64,Very Affordable,Less than 300 reviews,Short term rent is available
211,Queens,Entire home/apt,140,Very Affordable,Less than 50 reviews,Short term rent is available
212,Brooklyn,Entire home/apt,159,Very Affordable,Less than 300 reviews,Short term rent is available
213,Manhattan,Entire home/apt,189,Very Popular,Less than 300 reviews,Short term rent is available
214,Manhattan,Entire home/apt,250,Very Popular,Less than 150 reviews,Short term rent is available
215,Manhattan,Entire home/apt,239,Very Affordable,Less than 10 reviews,Short term rent is available
216,Manhattan,Entire home/apt,305,Affordable,Less than 150 reviews,Short term rent is available
217,Manhattan,Entire home/apt,155,Very Affordable,Less than 300 reviews,Short term rent is available
218,Manhattan,Private room,60,Very Affordable,Over 300 reviews,Short term rent is available
219,Brooklyn,Private room,135,Very Affordable,Less than 50 reviews,Short term rent is available
220,Manhattan,Private room,120,Very Affordable,Less than 50 reviews,At least a week should be reserved
221,Manhattan,Entire home/apt,150,Very Affordable,Less than 50 reviews,Short term rent is available
222,Queens,Entire home/apt,140,Very Affordable,Less than 10 reviews,At least a week should be reserved
223,Brooklyn,Entire home/apt,135,Very Popular,Less than 150 reviews,Short term rent is available
224,Manhattan,Entire home/apt,250,Very Affordable,Less than 50 reviews,Short term rent is available
225,Manhattan,Entire home/apt,250,Very Popular,Less than 150 reviews,At least more than a month should be reserved
226,Manhattan,Entire home/apt,500,Very Affordable,Less than 150 reviews,Short term rent is available
227,Manhattan,Entire home/apt,225,Normal,Less than 50 reviews,Short term rent is available
228,Manhattan,Entire home/apt,125,Very Affordable,Less than 300 reviews,At least more than 2 weeks should be reserved
229,Manhattan,Private room,92,Very Affordable,Less than 300 reviews,Short term rent is available
230,Manhattan,Private room,175,Very Affordable,Less than 10 reviews,Short term rent is available
231,Manhattan,Entire home/apt,99,Very Affordable,Less than 150 reviews,Short term rent is available
232,Manhattan,Entire home/apt,195,Very Popular,Less than 10 reviews,Short term rent is available
233,Manhattan,Entire home/apt,140,Affordable,Less than 150 reviews,Short term rent is available
234,Manhattan,Entire home/apt,135,Very Popular,Less than 50 reviews,Short term rent is available
235,Manhattan,Entire home/apt,500,Very Affordable,Less than 50 reviews,Short term rent is available
236,Manhattan,Private room,80,Very Popular,Less than 50 reviews,At least a week should be reserved
237,Manhattan,Private room,120,Very Affordable,Less than 300 reviews,Short term rent is available
238,Manhattan,Entire home/apt,110,Normal,Less than 150 reviews,Sublet only
239,Brooklyn,Entire home/apt,65,Very Popular,Less than 300 reviews,Short term rent is available
240,Manhattan,Entire home/apt,130,Popular,Less than 150 reviews,At least more than a month should be reserved
241,Brooklyn,Entire home/apt,99,Popular,Less than 150 reviews,Short term rent is available
242,Staten Island,Private room,36,Very Affordable,Less than 300 reviews,Short term rent is available
243,Staten Island,Private room,37,Very Popular,Less than 150 reviews,Short term rent is available
244,Staten Island,Private room,37,Very Affordable,Less than 300 reviews,Short term rent is available
245,Manhattan,Entire home/apt,175,Very Affordable,Less than 300 reviews,Short term rent is available
246,Manhattan,Entire home/apt,205,Popular,Less than 150 reviews,At least a week should be reserved
247,Brooklyn,Entire home/apt,285,Very Affordable,Less than 150 reviews,Short term rent is available
248,Brooklyn,Private room,59,Very Popular,Less than 300 reviews,Short term rent is available
249,Staten Island,Private room,36,Very Affordable,Over 300 reviews,Short term rent is available
250,Queens,Entire home/apt,99,Very Affordable,Over 300 reviews,Short term rent is available
251,Brooklyn,Private room,39,Very Affordable,Less than 50 reviews,Short term rent is available
252,Brooklyn,Private room,60,Very Popular,Less than 10 reviews,At least a week should be reserved
253,Bronx,Entire home/apt,105,Very Affordable,Less than 50 reviews,Short term rent is available
254,Brooklyn,Entire home/apt,135,Very Popular,Less than 300 reviews,Short term rent is available
255,Manhattan,Entire home/apt,390,Very Affordable,Less than 150 reviews,Short term rent is available
256,Brooklyn,Private room,70,Very Affordable,Less than 50 reviews,Short term rent is available
257,Brooklyn,Private room,60,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
258,Brooklyn,Private room,100,Very Affordable,Less than 300 reviews,Short term rent is available
259,Brooklyn,Private room,70,Affordable,Less than 50 reviews,Short term rent is available
260,Brooklyn,Private room,110,Very Popular,Less than 150 reviews,Short term rent is available
261,Brooklyn,Private room,60,Very Affordable,Less than 300 reviews,Short term rent is available
262,Manhattan,Entire home/apt,90,Very Popular,Less than 10 reviews,At least a week should be reserved
263,Manhattan,Private room,68,Popular,Less than 300 reviews,Short term rent is available
264,Manhattan,Entire home/apt,115,Very Affordable,Less than 300 reviews,Short term rent is available
265,Brooklyn,Private room,75,Popular,Less than 150 reviews,Short term rent is available
266,Manhattan,Entire home/apt,129,Very Affordable,Less than 10 reviews,At least a week should be reserved
267,Brooklyn,Entire home/apt,130,Affordable,Less than 50 reviews,At least a week should be reserved
268,Brooklyn,Entire home/apt,95,Popular,Less than 150 reviews,Short term rent is available
269,Manhattan,Private room,75,Very Affordable,Less than 50 reviews,Short term rent is available
270,Brooklyn,Entire home/apt,175,Very Affordable,Less than 50 reviews,Short term rent is available
271,Brooklyn,Entire home/apt,190,Very Affordable,Less than 150 reviews,Short term rent is available
272,Brooklyn,Private room,49,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
273,Manhattan,Entire home/apt,212,Popular,Less than 150 reviews,Short term rent is available
274,Manhattan,Private room,95,Very Affordable,Less than 150 reviews,Short term rent is available
275,Brooklyn,Entire home/apt,140,Very Affordable,Less than 10 reviews,Short term rent is available
276,Manhattan,Entire home/apt,135,Affordable,Less than 300 reviews,Short term rent is available
277,Brooklyn,Entire home/apt,150,Very Affordable,Less than 300 reviews,Short term rent is available
278,Brooklyn,Entire home/apt,190,Very Affordable,Less than 150 reviews,Short term rent is available
279,Manhattan,Entire home/apt,124,Normal,Less than 50 reviews,At least more than 2 weeks should be reserved
280,Brooklyn,Entire home/apt,135,Popular,Less than 150 reviews,At least more than a month should be reserved
281,Manhattan,Private room,122,Very Affordable,Less than 150 reviews,Short term rent is available
282,Manhattan,Private room,109,Very Affordable,Less than 150 reviews,Short term rent is available
283,Manhattan,Private room,85,Very Affordable,Less than 150 reviews,At least more than a month should be reserved
284,Brooklyn,Entire home/apt,145,Popular,Less than 150 reviews,Short term rent is available
285,Manhattan,Entire home/apt,195,Very Affordable,Less than 50 reviews,At least a week should be reserved
286,Brooklyn,Entire home/apt,250,Very Affordable,Less than 150 reviews,Short term rent is available
287,Brooklyn,Private room,125,Very Affordable,Less than 10 reviews,Short term rent is available
288,Manhattan,Entire home/apt,575,Very Affordable,Less than 300 reviews,Short term rent is available
289,Manhattan,Entire home/apt,150,Popular,Less than 50 reviews,At least more than a month should be reserved
290,Brooklyn,Private room,70,Affordable,Less than 50 reviews,Short term rent is available
291,Manhattan,Private room,90,Normal,Less than 150 reviews,Short term rent is available
292,Manhattan,Private room,65,Very Popular,Less than 150 reviews,Short term rent is available
293,Manhattan,Entire home/apt,500,Very Affordable,Less than 50 reviews,Short term rent is available
294,Manhattan,Entire home/apt,250,Very Affordable,Less than 50 reviews,Short term rent is available
295,Manhattan,Entire home/apt,125,Normal,Less than 50 reviews,At least more than 2 weeks should be reserved
296,Manhattan,Entire home/apt,200,Very Affordable,Less than 50 reviews,At least more than a month should be reserved
297,Brooklyn,Entire home/apt,229,Affordable,Less than 150 reviews,Short term rent is available
298,Bronx,Entire home/apt,90,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
299,Manhattan,Entire home/apt,110,Very Popular,Less than 50 reviews,At least a week should be reserved
300,Brooklyn,Private room,59,Very Popular,Less than 50 reviews,Short term rent is available
301,Brooklyn,Entire home/apt,195,Popular,Less than 150 reviews,Short term rent is available
302,Brooklyn,Entire home/apt,169,Very Affordable,Less than 150 reviews,Short term rent is available
303,Manhattan,Entire home/apt,113,Very Affordable,Less than 50 reviews,At least a week should be reserved
304,Manhattan,Entire home/apt,250,Popular,Less than 50 reviews,At least a week should be reserved
305,Queens,Entire home/apt,115,Very Affordable,Less than 300 reviews,Short term rent is available
306,Brooklyn,Private room,55,Very Popular,Less than 10 reviews,Short term rent is available
307,Brooklyn,Private room,69,Very Popular,Less than 300 reviews,Short term rent is available
308,Manhattan,Entire home/apt,150,Affordable,Less than 300 reviews,Short term rent is available
309,Brooklyn,Entire home/apt,169,Affordable,Over 300 reviews,Short term rent is available
310,Brooklyn,Private room,179,Popular,Less than 50 reviews,Short term rent is available
311,Manhattan,Private room,150,Popular,Less than 50 reviews,Short term rent is available
312,Brooklyn,Entire home/apt,135,Very Popular,Less than 10 reviews,Short term rent is available
313,Brooklyn,Entire home/apt,350,Affordable,Less than 50 reviews,Short term rent is available
314,Brooklyn,Private room,120,Very Affordable,Less than 150 reviews,At least a week should be reserved
315,Manhattan,Private room,71,Affordable,Less than 300 reviews,Short term rent is available
316,Brooklyn,Private room,349,Popular,Less than 10 reviews,Short term rent is available
317,Brooklyn,Private room,349,Popular,Less than 10 reviews,Short term rent is available
318,Brooklyn,Entire home/apt,165,Affordable,Less than 50 reviews,At least more than a month should be reserved
319,Brooklyn,Private room,249,Popular,Less than 10 reviews,Short term rent is available
320,Brooklyn,Private room,100,Very Popular,Less than 150 reviews,Short term rent is available
321,Brooklyn,Entire home/apt,200,Normal,Less than 150 reviews,Short term rent is available
322,Manhattan,Entire home/apt,169,Very Affordable,Less than 300 reviews,Short term rent is available
323,Brooklyn,Entire home/apt,185,Very Affordable,Less than 50 reviews,Short term rent is available
324,Brooklyn,Entire home/apt,65,Affordable,Less than 300 reviews,Short term rent is available
325,Brooklyn,Entire home/apt,130,Normal,Less than 10 reviews,At least more than a month should be reserved
326,Brooklyn,Entire home/apt,199,Popular,Less than 10 reviews,At least more than a month should be reserved
327,Manhattan,Entire home/apt,225,Very Popular,Less than 50 reviews,Short term rent is available
328,Brooklyn,Private room,179,Popular,Less than 50 reviews,Short term rent is available
329,Brooklyn,Entire home/apt,150,Very Popular,Less than 10 reviews,Short term rent is available
330,Manhattan,Entire home/apt,139,Normal,Over 300 reviews,Short term rent is available
331,Manhattan,Private room,95,Popular,Less than 300 reviews,Short term rent is available
332,Brooklyn,Entire home/apt,79,Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
333,Manhattan,Entire home/apt,150,Popular,Less than 300 reviews,Short term rent is available
334,Brooklyn,Entire home/apt,90,Very Affordable,Less than 300 reviews,Short term rent is available
335,Brooklyn,Entire home/apt,120,Very Affordable,Less than 150 reviews,Short term rent is available
